Area (Hectares),N,P,K,pH,Temperature,Rainfall,Humidity,Crop Name,Yield
0.408147551,91,16,23,7.4,22,217,61,Mustard,597.9000
0.125163797,91,16,23,7.4,23,195,79,Mustard,594.2477
0.173958759,91,16,23,7.4,31,190,62,Mustard,392.2777
0.357579704,91,16,23,7.4,30,161,83,Mustard,479.9547
0.219471417,91,16,23,7.4,30,203,71,Mustard,433.6617
0.230104554,91,16,23,7.4,16,173,62,Mustard,350.8504
0.193742593,91,16,23,7.4,30,185,61,Mustard,519.9336
0.316364632,91,16,23,7.4,19,216,75,Mustard,538.5729
0.135297151,91,16,23,7.4,23,228,74,Mustard,539.0932
0.112116193,91,16,23,7.4,19,198,71,Mustard,606.0883
0.732023284,91,16,23,7.4,26,194,83,Mustard,399.8312
0.084984962,91,16,23,7.4,31,232,77,Mustard,432.8000
0.083935067,91,16,23,7.4,32,236,75,Mustard,471.6086
0.009424875,91,16,23,7.4,32,173,74,Mustard,392.3752
0.409007153,91,16,23,7.4,27,173,73,Mustard,315.4720
0.316327857,91,16,23,7.4,12,175,87,Mustard,541.8889
0.188482118,91,16,23,7.4,16,226,81,Mustard,328.5372
0.288412614,91,16,23,7.4,31,237,69,Mustard,360.7376
0.299413685,91,16,23,7.4,28,231,61,Mustard,355.9823
0.464631921,91,16,23,7.4,13,184,57,Mustard,382.4130
0.175440454,91,16,23,7.4,21,227,74,Mustard,449.1645
0.134823546,91,16,23,7.4,7,210,86,Mustard,346.1904
0.136568478,91,16,23,7.4,15,181,59,Mustard,617.6396
0.562484947,91,16,23,7.4,27,169,62,Mustard,581.2430
0.196944120,91,16,23,7.4,25,170,85,Mustard,489.8109
0.141956806,91,16,23,7.4,7,187,88,Mustard,538.6677
0.175044755,91,16,23,7.4,27,195,84,Mustard,442.3595
0.287348921,91,16,23,7.4,27,179,80,Mustard,456.2039
0.118623841,91,16,23,7.4,30,236,59,Mustard,618.5315
0.168752833,91,16,23,7.4,21,193,79,Mustard,548.4087
0.164680245,91,16,23,7.4,21,238,62,Mustard,413.9859
0.227049447,91,16,23,7.4,9,163,56,Mustard,561.8279
0.171041040,91,16,23,7.4,11,209,84,Mustard,435.8506
0.356025434,91,16,23,7.4,24,216,67,Mustard,527.9418
0.795300506,91,16,23,7.4,12,155,62,Mustard,471.4239
0.008345469,91,16,23,7.4,32,210,72,Mustard,371.3552
0.327768540,91,16,23,7.4,17,206,78,Mustard,429.5106
0.249036787,91,16,23,7.4,30,205,82,Mustard,573.7808
0.078016169,91,16,23,7.4,7,151,60,Mustard,570.8740
0.166526468,91,16,23,7.4,30,203,61,Mustard,321.8137
0.037928977,91,16,23,7.4,12,249,75,Mustard,512.4929
0.116113363,91,16,23,7.4,7,187,85,Mustard,315.8031
0.145776720,91,16,23,7.4,31,237,67,Mustard,615.4794
0.075539021,91,16,23,7.4,32,191,70,Mustard,535.3174
0.270636490,91,16,23,7.4,7,247,62,Mustard,383.9993
0.910622837,91,16,23,7.4,13,167,72,Mustard,320.1137
0.298758279,91,16,23,7.4,9,239,60,Mustard,484.6041
0.043008360,91,16,23,7.4,12,187,60,Mustard,563.0409
0.050822158,91,16,23,7.4,20,186,67,Mustard,537.7473
0.047930856,91,16,23,7.4,30,189,75,Mustard,527.1044
0.083250413,91,16,23,7.4,9,153,82,Mustard,516.8015
0.112693749,91,16,23,7.4,18,181,57,Mustard,584.9930
0.041965023,91,16,23,7.4,23,197,59,Mustard,348.3430
0.168771461,91,16,23,7.4,11,247,84,Mustard,604.0735
0.361139357,91,16,23,7.4,8,235,74,Mustard,353.1975
0.087683194,91,16,23,7.4,18,162,83,Mustard,332.4142
0.070469126,91,16,23,7.4,28,161,79,Mustard,529.2290
0.161370907,91,16,23,7.4,11,164,79,Mustard,424.3239
0.102042441,91,16,23,7.4,25,244,63,Mustard,559.3374
0.010608320,91,16,23,7.4,20,178,80,Mustard,464.2847
0.095056699,91,16,23,7.4,18,197,81,Mustard,321.3544
0.058666451,91,16,23,7.4,17,199,83,Mustard,532.9833
0.177811079,91,16,23,7.4,27,191,72,Mustard,601.1119
0.232481315,91,16,23,7.4,30,229,85,Mustard,576.0652
0.096331455,91,16,23,7.4,16,155,77,Mustard,402.9617
0.343981899,91,16,23,7.4,27,172,63,Mustard,332.5826
0.124278351,91,16,23,7.4,20,161,83,Mustard,492.7075
0.008690256,91,16,23,7.4,13,163,86,Mustard,537.8049
0.099960687,91,16,23,7.4,24,232,69,Mustard,435.7968
0.101119976,91,16,23,7.4,29,158,60,Mustard,503.7769
0.263657464,91,16,23,7.4,26,190,70,Mustard,331.9688
0.079568659,91,16,23,7.4,29,156,58,Mustard,460.3227
0.145297788,91,16,23,7.4,30,227,77,Mustard,579.3108
0.220516424,91,16,23,7.4,7,169,88,Mustard,333.0558
0.258668227,91,16,23,7.4,24,165,74,Mustard,458.4865
0.516327109,91,16,23,7.4,15,157,77,Mustard,424.0249
1.002354019,91,16,23,7.4,26,159,80,Mustard,555.4854
0.117347853,90,12,26,7.9,8,209,78,Mustard,360.8676
0.153522300,90,12,26,7.9,17,247,71,Mustard,393.4714
0.161650180,90,12,26,7.9,30,176,61,Mustard,494.8021
0.161881671,90,12,26,7.9,24,250,57,Mustard,410.3127
0.216032496,84,20,28,5.1,10,186,86,Mustard,404.4304
0.246734567,84,20,28,5.1,26,155,62,Mustard,416.3250
0.282666530,84,20,28,5.1,19,250,84,Mustard,558.0737
0.646256388,84,20,28,5.1,12,248,74,Mustard,601.7818
0.084582648,90,12,26,7.9,15,190,79,Mustard,382.2335
0.115556218,90,12,26,7.9,24,189,72,Mustard,469.7025
0.049063169,90,12,26,7.9,10,168,65,Mustard,336.6043
0.286221478,84,20,28,5.1,14,193,62,Mustard,387.8620
0.115911700,90,12,26,7.9,7,191,55,Mustard,337.5243
0.084286185,90,12,26,7.9,24,193,88,Mustard,603.5201
0.036557788,90,12,26,7.9,9,222,78,Mustard,511.3551
0.039178514,90,12,26,7.9,26,198,55,Mustard,342.5557
0.225285088,84,20,28,5.1,23,159,82,Mustard,338.1899
1.243566145,90,12,26,7.9,9,191,77,Mustard,562.7118
0.151910700,90,12,26,7.9,20,186,88,Mustard,411.8156
0.198594707,84,20,28,5.1,22,198,81,Mustard,369.6658
0.107228219,90,12,26,7.9,11,170,76,Mustard,566.7488
0.009507666,90,12,26,7.9,29,211,68,Mustard,511.1410
0.356454933,84,20,28,5.1,26,184,74,Mustard,509.5601
0.207364465,84,20,28,5.1,14,248,84,Mustard,599.8355
0.169633556,84,20,28,5.1,11,166,71,Mustard,371.7759
1.054919625,90,12,26,7.9,24,245,81,Mustard,402.7810
0.483477409,84,20,28,5.1,22,237,69,Mustard,573.8547
0.310112344,84,20,28,5.1,15,244,64,Mustard,568.0060
0.045875229,90,12,26,7.9,22,201,88,Mustard,366.4800
0.406951115,84,20,28,5.1,9,189,87,Mustard,572.1763
0.105203800,90,12,26,7.9,22,200,84,Mustard,540.7809
0.185793471,84,20,28,5.1,32,217,70,Mustard,484.4944
0.675362366,84,20,28,5.1,7,182,67,Mustard,339.6487
0.243533468,84,20,28,5.1,10,198,82,Mustard,513.5991
0.378471373,84,20,28,5.1,22,240,70,Mustard,619.3330
0.345058316,84,20,28,5.1,19,224,61,Mustard,376.0696
0.182884445,84,20,28,5.1,11,245,57,Mustard,583.6526
0.113223060,90,12,26,7.9,9,242,78,Mustard,602.3599
0.236483553,84,20,28,5.1,21,219,77,Mustard,492.0875
0.012939464,90,12,26,7.9,9,239,57,Mustard,505.9441
0.392614481,84,20,28,5.1,24,233,88,Mustard,580.7003
0.283872101,84,20,28,5.1,20,194,56,Mustard,618.2640
1.681930388,90,12,26,7.9,7,242,57,Mustard,523.2532
0.106917065,90,12,26,7.9,11,199,61,Mustard,426.0171
0.190858599,84,20,28,5.1,32,225,81,Mustard,350.3104
0.044524271,90,12,26,7.9,17,217,56,Mustard,412.1399
0.311982648,84,20,28,5.1,14,191,87,Mustard,515.3906
0.133311641,90,12,26,7.9,14,206,79,Mustard,436.1711
0.431265543,84,20,28,5.1,30,173,61,Mustard,421.3491
0.141532026,90,12,26,7.9,20,226,60,Mustard,336.9130
0.216523219,84,20,28,5.1,26,164,84,Mustard,530.1057
0.237769785,84,20,28,5.1,22,248,74,Mustard,454.9263
0.439456295,84,20,28,5.1,31,176,66,Mustard,354.7777
0.033341315,90,12,26,7.9,25,182,79,Mustard,467.7998
0.436374689,84,20,28,5.1,19,164,88,Mustard,372.7284
0.197366912,84,20,28,5.1,8,216,63,Mustard,484.3791
0.186935516,84,20,28,5.1,30,240,80,Mustard,396.1128
0.285560277,84,20,28,5.1,17,156,71,Mustard,560.1468
0.361718036,84,20,28,5.1,25,236,66,Mustard,492.6994
0.224985121,84,20,28,5.1,30,164,60,Mustard,440.0735
0.332719989,84,20,28,5.1,10,217,62,Mustard,606.8244
0.235345477,84,20,28,5.1,7,199,64,Mustard,434.3134
0.317733905,84,20,28,5.1,30,173,74,Mustard,327.9540
0.250222242,84,20,28,5.1,19,204,85,Mustard,516.7887
0.215962469,84,20,28,5.1,27,226,65,Mustard,578.9446
0.079976941,90,12,26,7.9,8,181,62,Mustard,332.8526
0.387917658,84,20,28,5.1,27,202,79,Mustard,464.9515
0.215498982,84,20,28,5.1,26,214,57,Mustard,449.6997
0.361729603,84,20,28,5.1,16,236,83,Mustard,494.3321
0.157965401,90,12,26,7.9,28,176,73,Mustard,441.5129
0.295677689,84,20,28,5.1,26,193,68,Mustard,604.5794
0.168311240,84,20,28,5.1,15,228,87,Mustard,475.8369
0.317525771,84,20,28,5.1,31,227,78,Mustard,329.3217
0.305701917,84,20,28,5.1,8,170,84,Mustard,446.2396
0.360994184,84,20,28,5.1,11,187,83,Mustard,509.6667
0.239094189,84,20,28,5.1,16,178,83,Mustard,481.3302
0.320413795,84,20,28,5.1,30,168,76,Mustard,495.2662
0.272407290,84,20,28,5.1,9,178,82,Mustard,450.6100
0.183360735,84,20,28,5.1,9,189,60,Mustard,455.8339
0.296133765,84,20,28,5.1,23,164,88,Mustard,429.2202
0.468874800,84,20,28,5.1,7,232,72,Mustard,490.4014
0.052354364,90,12,26,7.9,24,235,85,Mustard,353.3042
0.217786160,84,20,28,5.1,30,202,85,Mustard,371.8907
